,CIF,Bandgap,CO2/N2_selectivity,CO2/N2_selectivity,CO2_uptake_P0.10bar_T363K [mmol/g],CO2_uptake_P0.10bar_T363K [mmol/g],CO2_uptake_P0.15bar_T298K [mmol/g],CO2_uptake_P0.15bar_T298K [mmol/g],H2 uptake [mmol/g],N2_binary_uptake_P0.85bar_T298K [mmol/g],N2_binary_uptake_P0.85bar_T298K [mmol/g],heat_adsorption_CO2_P0.10bar_T363K [kcal/mol],heat_adsorption_CO2_P0.10bar_T363K [kcal/mol],heat_adsorption_CO2_P0.15bar_T298K [kcal/mol],heat_adsorption_CO2_P0.15bar_T298K [kcal/mol],heat_adsorption_N2_binary_P0.85bar_T298K [kcal/mol],heat_adsorption_N2_binary_P0.85bar_T298K [kcal/mol],working_capacity_vacuum_swing [mmol/g],working_capacity_vacuum_swing [mmol/g],Model
,,MOFTransformer,MOFTransformer,Simulation,MOFTransformer,Simulation,MOFTransformer,Simulation,MOFTransformer,MOFTransformer,Simulation,MOFTransformer,Simulation,MOFTransformer,Simulation,MOFTransformer,Simulation,MOFTransformer,Simulation,
26,MOFFusion_h2_gan+N254+E37,-0.27685546875,4.41796875,0.4448906741501661,0.048187255859375,0.0168369244,0.14404296875,0.05086792,0.75732421875,0.1717529296875,0.1143380227,3.177734375,2.31162473,3.1484375,2.39545637,1.7900390625,1.44309634,0.0772705078125,0.0340309955999999,MOFFusion_h2
10,MOFFusion_uncond_fnh+N172+E175,-0.263671875,5.578125,1.4005139496983707,0.06622314453125,0.0389883648,0.305908203125,0.2351010725,0.7548828125,0.170166015625,0.1678677121,3.783203125,3.98385276,3.9453125,4.43830648,2.08203125,2.20689971,0.1917724609375,0.1961127077,MOFFusion_uncond
162,MOFDIFF_optimized_CO2-uptake-P0.15bar-T298K_15_100_seed_123_sample_40,-1.490234375,6.3203125,,0.10260009765625,,0.394287109375,,0.74755859375,0.27490234375,,3.724609375,,3.921875,,2.0625,,0.2406005859375,,MOFDIFF_optimized_CO2-uptake-P0.15bar-T298K
41,MOFFusion_uncond_sva+N599+E111,-0.214111328125,4.66015625,0.53041315999225,0.0640869140625,0.0296587056,0.18408203125,0.0999314588,0.74560546875,0.1976318359375,0.1884030532,3.11328125,2.64457563,3.478515625,2.9751460899999995,1.748046875,1.6813171999999998,0.11505126953125,0.0702727532,MOFFusion_uncond
23,MOFFusion_uncond_neb+N76+E108,-0.783203125,5.578125,,0.09454345703125,,0.3603515625,,0.74560546875,0.265380859375,,3.68359375,,3.767578125,,2.142578125,,0.2099609375,,MOFFusion_uncond
77,MOFFusion_uncond_wld+N572+E76,-0.91162109375,7.57421875,1.0083112961491854,0.0677490234375,0.031608533,0.2047119140625,0.1625494695,0.7412109375,0.192626953125,0.1612096087,4.31640625,3.65545481,4.609375,3.97662779,2.107421875,2.08052846,0.1650390625,0.1309409365,MOFFusion_uncond
38,MOFReinforce_selectivity_rtl+N622+3,-1.3818359375,8.2421875,,0.09320068359375,,0.4599609375,,0.7353515625,0.247802734375,,4.30859375,,4.4765625,,2.439453125,,0.39794921875,,MOFReinforce_selectivity
1,MOFReinforce_selectivity_acs+N86+66,-1.52734375,5.5390625,,0.0731201171875,,0.26953125,,0.7255859375,0.19580078125,,3.337890625,,3.859375,,2.251953125,,0.165771484375,,MOFReinforce_selectivity
83,MOFFusion_h2_zfs+N254+E202,-0.126708984375,4.86328125,0.8672316385269183,0.07550048828125,0.0289103211,0.2469482421875,0.1328000287,0.7197265625,0.1820068359375,0.1531309777,3.66796875,3.30571894,4.015625,3.61455474,2.00390625,1.95199665,0.1844482421875,0.1038897075999999,MOFFusion_h2
19,MOFFusion_h2_fcp+N272+E25,-0.37841796875,5.25,,0.080078125,,0.2958984375,,0.712890625,0.20849609375,,4.01171875,,4.203125,,2.1328125,,0.1448974609375,,MOFFusion_h2
48,MOFFusion_h2_svn+N583+E88,-0.042633056640625,7.1953125,,0.08343505859375,,0.517578125,,0.6962890625,0.2200927734375,,4.72265625,,4.53125,,2.7890625,,0.4140625,,MOFFusion_h2
85,MOFFusion_h2_zfu+N651+E95,-0.40771484375,6.73828125,1.6901223778503496,0.099853515625,0.0431613676,0.3017578125,0.3087974254,0.69384765625,0.1756591796875,0.1827071397,4.19140625,4.31586439,4.375,5.16757674,2.322265625,2.22847663,0.2025146484375,0.2656360578,MOFFusion_h2
36,MOFReinforce_c02_sxb+N31+4,-0.180419921875,4.921875,1.0579345091780608,0.0804443359375,0.0309889191,0.2252197265625,0.1671312491,0.69287109375,0.18701171875,0.1579788235,3.35546875,3.29011702,3.78125,4.195379709999999,1.9345703125,1.80932799,0.124267578125,0.1361423299999999,MOFReinforce_c02
93,MOFFusion_uncond_zfk+N254+E186,-0.546875,5.9765625,0.7612389113374067,0.05670166015625,0.0252672462,0.1763916015625,0.1091070939,0.6787109375,0.1611328125,0.1433283195,3.76953125,3.30103215,3.755859375,3.52913853,2.267578125,2.07042354,0.10272216796875,0.0838398477,MOFFusion_uncond
32,MOFReinforce_selectivity_reo+N636+42,-0.3388671875,12.4765625,,0.109130859375,,0.476806640625,,0.66748046875,0.25048828125,,4.98828125,,4.56640625,,2.453125,,0.309814453125,,MOFReinforce_selectivity
91,MOFFusion_uncond_zfa+N206+E175,-0.265380859375,6.6875,,0.0712890625,,0.27001953125,,0.6494140625,0.1409912109375,,3.7421875,,4.06640625,,2.08984375,,0.12408447265625,,MOFFusion_uncond
79,MOFFusion_uncond_wll+N300+E44,0.293212890625,5.2109375,0.7383406969743221,0.05670166015625,0.0230291856,0.1944580078125,0.0846843402,0.6484375,0.199462890625,0.1146954794,3.29296875,2.97225419,3.55859375,3.23512312,2.05859375,1.64242951,0.1739501953125,0.0616551546,MOFFusion_uncond
8,MOFFusion_uncond_cdt+N133+E86,-0.74755859375,4.83984375,0.6008626411291358,0.06451416015625,0.0257645165,0.199462890625,0.1090176155,0.61669921875,0.222412109375,0.1814351701,3.505859375,2.73387559,3.822265625,3.33335929,1.908203125,1.6779090599999995,0.09820556640625,0.083253099,MOFFusion_uncond
30,MOFFusion_uncond_qtz-x+N221+E78,0.11309814453125,5.34765625,,0.0841064453125,,0.2156982421875,,0.5732421875,0.2320556640625,,3.568359375,,3.365234375,,2.005859375,,0.161376953125,,MOFFusion_uncond
50,MOFFusion_uncond_unb+N528+E19,-0.205810546875,4.37890625,2.2155631656950865,0.055877685546875,0.0589491911,0.1756591796875,0.1899981541,0.572265625,0.1766357421875,0.0857561441,3.166015625,6.17585082,3.150390625,3.54688189,1.7587890625,1.76298589,0.10113525390625,0.131048963,MOFFusion_uncond
94,MOFFusion_uncond_zfu+N254+E69,-0.65673828125,7.8359375,1.0876783395683252,0.08599853515625,0.0378730087,0.3427734375,0.1764461396,0.56005859375,0.1658935546875,0.1622227208,4.30859375,3.82818967,4.453125,4.20303966,2.34765625,2.27804045,0.2158203125,0.1385731309,MOFFusion_uncond
2,MOFReinforce_selectivity_apo+N622+39,-0.97314453125,6.52734375,,0.09149169921875,,0.314453125,,0.5576171875,0.206787109375,,4.0859375,,3.95703125,,1.9267578125,,0.177978515625,,MOFReinforce_selectivity
47,MOFFusion_h2_svn+N583+E15,-0.09478759765625,8.7421875,1.7503248375661369,0.06646728515625,0.05439904,0.411376953125,0.3470440761,0.54736328125,0.166259765625,0.1982740967,4.91015625,4.53491745,4.87109375,4.83561052,2.61328125,2.63247506,0.270751953125,0.2926450361,MOFFusion_h2
27,MOFReinforce_selectivity_nbo+N303+16,0.217041015625,4.53125,,0.07354736328125,,0.252197265625,,0.54052734375,0.246337890625,,3.359375,,3.48828125,,1.7509765625,,0.1885986328125,,MOFReinforce_selectivity
65,MOFFusion_h2_vmc+N446+E182,-0.458251953125,4.76171875,,0.0477294921875,,0.1441650390625,,0.5205078125,0.1507568359375,,3.107421875,,3.447265625,,1.8359375,,0.0853271484375,,MOFFusion_h2
46,MOFFusion_h2_svd+N583+E13,-0.2117919921875,5.0390625,2.398105778247647,0.0654296875,0.0599793787,0.20263671875,0.448601161,0.47021484375,0.1634521484375,0.187064793,3.462890625,4.8834631,4.05078125,5.4283353000000005,2.1484375,2.44740302,0.1280517578125,0.3886217823,MOFFusion_h2
