,CIF,Bandgap,CO2/N2_selectivity,CO2/N2_selectivity,CO2_uptake_P0.10bar_T363K [mmol/g],CO2_uptake_P0.10bar_T363K [mmol/g],CO2_uptake_P0.15bar_T298K [mmol/g],CO2_uptake_P0.15bar_T298K [mmol/g],H2 uptake [mmol/g],N2_binary_uptake_P0.85bar_T298K [mmol/g],N2_binary_uptake_P0.85bar_T298K [mmol/g],heat_adsorption_CO2_P0.10bar_T363K [kcal/mol],heat_adsorption_CO2_P0.10bar_T363K [kcal/mol],heat_adsorption_CO2_P0.15bar_T298K [kcal/mol],heat_adsorption_CO2_P0.15bar_T298K [kcal/mol],heat_adsorption_N2_binary_P0.85bar_T298K [kcal/mol],heat_adsorption_N2_binary_P0.85bar_T298K [kcal/mol],working_capacity_vacuum_swing [mmol/g],working_capacity_vacuum_swing [mmol/g],Model
,,MOFTransformer,MOFTransformer,Simulation,MOFTransformer,Simulation,MOFTransformer,Simulation,MOFTransformer,MOFTransformer,Simulation,MOFTransformer,Simulation,MOFTransformer,Simulation,MOFTransformer,Simulation,MOFTransformer,Simulation,
80,MOFFusion_uncond_wmk+N691+E63,-0.5380859375,5.6640625,6.662862159300386,0.07666015625,0.0902856613,0.258544921875,0.7777274501,0.154296875,0.1810302734375,0.1167257301,3.990234375,6.1949469200000005,4.03125,6.28152706,2.05859375,2.37125523,0.1593017578125,0.6874417888,MOFFusion_uncond
23,MOFReinforce_c02_scu+N131+11,-1.3515625,10.5,3.236613434049811,0.08575439453125,0.0978898889,0.45703125,0.7726629462,-0.313232421875,0.21875,0.2387257428,4.53125,5.72740795,4.83984375,5.861714,2.740234375,3.1278407999999995,0.412841796875,0.6747730572999999,MOFReinforce_c02
46,MOFReinforce_c02_tfz-d+N131+43,-1.23828125,32.78125,5.667929796089519,0.12164306640625,0.0714714592,0.8212890625,0.745238451,-2.1953125,0.1656494140625,0.1314833595,6.1171875,6.5233138,6.01953125,6.20498253,3.77734375,3.73811057,0.845703125,0.6737669918,MOFReinforce_c02
8,MOFFusion_h2_cab+N300+E66,0.0238494873046875,7.3515625,4.897046903288737,0.0618896484375,0.0810145729,0.291259765625,0.6844719741,0.325439453125,0.1387939453125,0.139772395,3.98828125,6.44270627,4.1484375,6.434840779999999,2.466796875,2.68451253,0.141357421875,0.6034574012,MOFFusion_h2
60,MOFFusion_text_lta+N691+E66,-0.490234375,3.380859375,3.3223872456155914,0.0506591796875,0.0739894146,0.178466796875,0.6772086696,-1.3427734375,0.257080078125,0.2038319496,1.900390625,4.371020809999999,2.39453125,5.06900119,1.39453125,1.143137,0.08441162109375,0.6032192550000001,MOFFusion_text
37,MOFReinforce_c02_tfz-d+N131+0,-1.1953125,11.140625,4.636631329558187,0.069580078125,0.0870918399,0.39306640625,0.6542691366,-0.312744140625,0.1826171875,0.1411087253,4.95703125,5.97463911,5.21484375,5.60033643,2.890625,2.72728397,0.342041015625,0.5671772966999999,MOFReinforce_c02
1,MOFReinforce_c02_ant+N442+78,0.284423828125,14.3828125,9.36178000832876,0.0494384765625,0.0690035922,0.2476806640625,0.610591327,-0.99658203125,0.1058349609375,0.0652217128,4.72265625,6.52281668,4.99609375,5.486041849999999,2.90234375,2.56781122,0.318359375,0.5415877348,MOFReinforce_c02
50,MOFFusion_pore_snm+N356+E158,,5.05078125,3.546148846273601,0.057373046875,0.0613949625,0.1708984375,0.5936297148,,0.165771484375,0.1674012402,3.369140625,4.86231399,3.708984375,5.88315469,1.849609375,2.02678453,0.1053466796875,0.5322347523000001,MOFFusion_pore
55,MOFFusion_pore_svd+N583+E66,,4.60546875,3.2605168263097046,0.06427001953125,0.0706030485,0.1707763671875,0.5997758449,,0.1583251953125,0.1839511577,3.544921875,5.04169544,3.71484375,5.79378542,2.123046875,2.66216125,0.10406494140625,0.5291727964,MOFFusion_pore
17,MOFReinforce_c02_hex+N131+16,-1.189453125,8.4609375,3.470352206576594,0.07037353515625,0.0662699494,0.324951171875,0.5895374694,0.355224609375,0.197998046875,0.1698782816,4.265625,5.40122314,4.81640625,5.57191455,2.71875,2.59081258,0.1776123046875,0.52326752,MOFReinforce_c02
82,MOFFusion_uncond_wnj+N583+E188,-0.5380859375,6.06640625,1.8358549220898013,0.111328125,0.0915133398,0.40185546875,0.6018004189,0.46826171875,0.2398681640625,0.3278039085,4.2109375,4.920993269999999,4.30859375,5.420455469999999,2.33203125,2.68193611,0.276123046875,0.5102870791,MOFFusion_uncond
44,MOFFusion_text_lta+N650+E76,-0.68994140625,3.58203125,4.131555943867667,0.07196044921875,0.0833414769,0.17138671875,0.577374116,-1.15625,0.300048828125,0.1397473794,2.205078125,5.636086049999999,2.78515625,6.34355712,1.3642578125,1.17611183,0.09271240234375,0.4940326391,MOFFusion_text
91,MOFFusion_pore_wif+N356+E201,,8.375,2.1849427168163604,0.0770263671875,0.077041151,0.89501953125,0.5548209661,,0.2314453125,0.2539292961,4.609375,4.86154202,4.796875,5.22311795,2.30859375,2.33191583,0.32666015625,0.4777798151,MOFFusion_pore
1,MOFFusion_pore_bcu-g+N137+E184,,6.44921875,2.3666575113546204,0.09002685546875,0.0658974681,0.57958984375,0.5267518388,,0.270263671875,0.2225720605,4.21484375,5.21978868,4.22265625,5.75892488,2.3828125,2.34304606,0.260498046875,0.4608543707,MOFFusion_pore
16,MOFReinforce_c02_hex+N131+10,-1.1484375,10.4375,2.932428401807002,0.07147216796875,0.0634671699,0.322998046875,0.493943426,-0.06854248046875,0.1839599609375,0.1684417685,4.41796875,5.3339781,4.67578125,5.67082709,2.748046875,2.75849976,0.326416015625,0.4304762561,MOFReinforce_c02
36,MOFFusion_uncond_smi+N287+E16,0.0002670288085937,7.34765625,2.7158493874082867,0.0609130859375,0.0690466746,0.182373046875,0.4953313673,0.427001953125,0.1993408203125,0.1823854333,4.3203125,5.85785176,4.24609375,5.42546969,2.39453125,2.52625629,0.1705322265625,0.4262846927,MOFFusion_uncond
49,MOFFusion_uncond_umc+N112+E216,-1.3232421875,9.6328125,1.2346451843833277,0.1563720703125,0.0943274917,0.90478515625,0.513624826,0.96484375,0.3193359375,0.4160100671,4.88671875,4.232140299999999,5.0625,4.39237068,2.677734375,2.6543101,0.67529296875,0.4192973343,MOFFusion_uncond
33,MOFReinforce_c02_scu+N131+63,-1.3037109375,9.8515625,2.7708580938241023,0.068603515625,0.058773172,0.3115234375,0.4754468185,0.11187744140625,0.1790771484375,0.1715882959,4.24609375,5.09858222,4.515625,5.352032159999999,2.46484375,2.61929899,0.26416015625,0.4166736465,MOFReinforce_c02
39,MOFFusion_uncond_snw+N92+E16,0.3583984375,6.5625,2.2437823399605192,0.07867431640625,0.058360226,0.29052734375,0.4512552995,1.1552734375,0.205078125,0.2011136693,4.078125,4.68576708,3.990234375,5.11900955,2.3125,2.58645561,0.192138671875,0.3928950734999999,MOFFusion_uncond
43,MOFFusion_text_lta+N650+E51,-0.4580078125,3.5859375,4.488823934682844,0.048095703125,0.0180967957,0.1187744140625,0.4101154915,-1.4228515625,0.22509765625,0.091363684,2.279296875,3.78516011,2.6015625,6.306528849999999,1.3115234375,1.26497203,0.09466552734375,0.3920186958,MOFFusion_text
8,MOFFusion_pore_bor-e+N482+E63,,,2.5961132228726305,,0.0914845174,,0.4829659444,,,0.1860342377,,6.66321484,,5.67438341,,1.98169957,,0.391481427,MOFFusion_pore
46,MOFFusion_h2_svd+N583+E13,-0.2117919921875,5.0390625,2.398105778247647,0.0654296875,0.0599793787,0.20263671875,0.448601161,0.47021484375,0.1634521484375,0.187064793,3.462890625,4.8834631,4.05078125,5.4283353000000005,2.1484375,2.44740302,0.1280517578125,0.3886217823,MOFFusion_h2
26,MOFFusion_pore_pcu+N400+E184,,11.25,3.793625242260656,0.09454345703125,0.0507772313,0.6328125,0.4288947073,,0.232666015625,0.1130566885,4.74609375,5.56210121,4.98828125,5.84034979,3.029296875,2.86143945,0.64794921875,0.378117476,MOFFusion_pore
